observed_utc,gw,source,team_abbr,opponent_abbr,status,formation,row,slot,player,short,kickoff_text
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,HUL,NEW,predicted,5-4-1,2,5,Lucas Herrington,,Saturday 19 September 18:00
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,HUL,NEW,predicted,5-4-1,2,6,Ryan Giles,,Saturday 19 September 18:00
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,HUL,NEW,predicted,5-4-1,3,7,Mohamed Belloumi,,Saturday 19 September 18:00
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,HUL,NEW,predicted,5-4-1,3,8,Matt Crooks,,Saturday 19 September 18:00
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,HUL,NEW,predicted,5-4-1,3,9,Regan Slater,,Saturday 19 September 18:00
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,HUL,NEW,predicted,5-4-1,3,10,Elliot Stroud,,Saturday 19 September 18:00
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,HUL,NEW,predicted,5-4-1,4,11,Oliver McBurnie,,Saturday 19 September 18:00
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,NFO,COV,predicted,3-4-2-1,1,1,Matz Sels,,Saturday 19 September 20:30
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,NFO,COV,predicted,3-4-2-1,2,2,Ola Aina,,Saturday 19 September 20:30
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,NFO,COV,predicted,3-4-2-1,2,3,Ousmane Diomande,,Saturday 19 September 20:30
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,NFO,COV,predicted,3-4-2-1,2,4,Murillo,,Saturday 19 September 20:30
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,NFO,COV,predicted,3-4-2-1,3,5,Daniel Muñoz,,Saturday 19 September 20:30
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,NFO,COV,predicted,3-4-2-1,3,6,James McAtee,,Saturday 19 September 20:30
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,NFO,COV,predicted,3-4-2-1,3,7,Xaver Schlager,,Saturday 19 September 20:30
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,NFO,COV,predicted,3-4-2-1,3,8,Neco Williams,,Saturday 19 September 20:30
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,NFO,COV,predicted,3-4-2-1,4,9,Dan Ndoye,,Saturday 19 September 20:30
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,NFO,COV,predicted,3-4-2-1,4,10,Morgan Gibbs-White,,Saturday 19 September 20:30
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,NFO,COV,predicted,3-4-2-1,5,11,Liam Delap,,Saturday 19 September 20:30
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,COV,NFO,predicted,3-4-2-1,1,1,Carl Rushworth,,Saturday 19 September 20:30
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,COV,NFO,predicted,3-4-2-1,2,2,Aurèle Amenda,,Saturday 19 September 20:30
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,COV,NFO,predicted,3-4-2-1,2,3,Bobby Thomas,,Saturday 19 September 20:30
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,COV,NFO,predicted,3-4-2-1,2,4,Ethan Pinnock,,Saturday 19 September 20:30
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,COV,NFO,predicted,3-4-2-1,3,5,Milan van Ewijk,,Saturday 19 September 20:30
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,COV,NFO,predicted,3-4-2-1,3,6,Caleb Yirenkyi,,Saturday 19 September 20:30
