id,code,selected_by_percent,transfers_in_event,transfers_out_event,now_cost
368,424876,38.3,91276,346473,70
369,611922,0.6,1102,16393,58
370,223541,0.1,12,972,54
371,441266,1.4,3526,26096,59
372,243016,1.4,5815,14201,54
373,206915,0.0,0,271,55
374,158983,0.1,385,808,50
375,591386,0.0,328,474,49
376,535928,0.0,0,19,50
377,551499,1.2,10990,18846,65
378,491501,0.2,657,1748,45
379,219168,21.0,426987,54562,91
380,510663,0.1,363,1627,74
381,514514,0.0,94,220,50
382,500058,0.1,4872,1577,45
383,444884,0.0,0,1295,54
579,445087,2.3,23860,11237,54
627,482616,1.8,66127,25914,80
155,448047,3.2,22533,32243,69
237,440993,9.9,29910,195020,59
384,204936,7.7,21200,46112,55
386,122074,0.0,89,159,45
387,472769,14.7,4326,373499,65
388,209036,18.6,63028,67161,60
389,465351,1.0,1594,7077,59
390,171314,1.8,7224,10543,55
391,477424,19.9,211095,82974,56
392,448514,0.5,800,7609,53
393,578153,1.6,4300,8717,55
394,494307,0.0,0,44,50
395,477064,0.2,647,2776,45
396,616222,0.0,51,199,45
397,437730,17.7,24706,178827,84
398,209244,4.7,12149,118517,70
399,466052,30.2,208083,220403,78
400,248875,0.8,190,9590,74
402,220566,0.0,0,68,65
404,433036,0.0,0,403,60
406,91651,0.1,324,950,54
407,575204,0.0,0,284,49
408,155405,0.0,0,42,50
409,590039,0.1,0,2442,45
410,649208,0.0,0,281,49
411,223094,71.3,105591,75456,155
481,215379,4.6,11939,53747,63
587,106921,0.0,88,175,50
616,637238,0.2,2774,2845,55
621,616288,0.1,2683,1652,45
622,554054,0.2,3325,2050,40
628,624777,0.0,228,133,60
653,595480,0.0,2240,560,45
43,166989,1.8,5108,23557,59
131,535301,0.1,622,1685,50
162,532605,0.7,2700,10580,49
325,59735,0.0,167,251,45
412,465247,12.2,7773,136662,50
413,451302,0.0,0,103,45
414,21205,0.1,453,540,40
415,596777,0.6,1048,12217,58
416,209365,0.0,74,217,50
417,216051,2.0,2686,20194,49
418,95658,12.2,11857,197897,49
419,221820,1.2,3758,8010,50
420,550864,0.5,623,4597,49
421,606745,0.3,578,3706,44
422,230001,0.6,938,7062,44
423,106760,13.8,15220,195520,44
424,577974,0.2,1049,1289,40
425,547676,0.0,0,112,40
426,141746,45.8,79437,331756,120
427,446008,25.3,89898,252916,79
428,430871,7.0,6242,88583,79
429,176297,1.6,14335,17029,70
430,184341,0.0,176,164,54
431,493250,0.4,121,7974,58
432,516895,1.3,18540,7140,55
433,232112,0.0,17,36,50
434,547037,0.0,72,113,49
435,576628,0.1,132,528,49
436,490881,0.0,0,201,50
437,576620,0.2,1002,1395,45
438,519913,0.3,979,2096,45
439,485711,1.6,14595,15664,70
440,458249,0.4,2676,5680,54
441,596047,1.2,10685,9427,45
405,465694,0.3,2609,2237,55
442,98747,1.0,2068,8098,49
443,81441,0.0,92,190,45
444,554578,0.0,82,200,45
445,465642,2.1,25899,26451,50
446,119471,0.2,767,2518,50
447,220237,0.7,5004,5278,50
448,78916,1.0,184,13519,49
449,487838,12.0,294937,58722,51
450,441191,0.0,1742,461,49
451,545477,0.1,0,684,40
453,201666,2.0,111220,27350,60
454,449434,11.0,201484,112902,61
456,232653,0.3,7332,2809,49
457,114243,0.1,683,1312,59
458,180974,0.0,25,197,54
459,547719,0.1,671,882,55
460,200089,0.5,9541,5553,50
461,611665,0.1,230,2151,58
462,636852,0.1,272,935,49
463,470313,0.7,0,30565,59
464,216646,17.1,348369,136852,62
465,538207,0.4,175,8582,59
466,599303,0.7,0,12866,45
559,632794,0.1,393,1083,49
567,470551,1.3,30742,14374,50
593,463726,3.5,93861,55574,45
609,553746,0.3,2799,2241,40
634,613221,0.1,4341,1133,60
167,463034,0.8,12596,7695,55
201,247348,5.9,7240,55203,54
467,85633,1.4,7665,6819,50
468,221389,0.1,116,268,45
469,215136,8.2,52246,42982,50
470,485047,0.0,0,792,50
471,227444,1.6,5102,5233,55
472,575476,1.6,8511,5404,55
473,159506,2.8,4708,28788,45
474,575458,0.2,3628,1948,45
475,500151,0.0,35,19,45
476,204822,0.2,580,1096,40
477,549067,0.2,0,2932,40
478,470315,0.0,73,240,45
479,538638,0.1,0,1593,40
480,222531,9.4,88539,75611,79
482,209046,0.2,538,2011,59
483,456512,0.7,5987,7554,55
484,503301,0.1,0,1776,54
485,476887,0.0,0,96,55
486,432714,0.1,1158,794,55
487,250199,0.1,225,544,49
488,210462,0.6,1747,5622,49
489,204968,1.4,5444,10611,45
490,60689,1.1,3319,13133,59
491,482973,2.7,8247,41481,59
493,465680,0.1,963,598,54
558,204561,0.1,580,713,50
581,568420,0.6,1050,5108,54
590,428971,0.1,344,395,45
112,469142,7.0,19880,45622,49
147,109646,0.2,415,1031,44
401,438234,2.2,27361,26755,70
403,510281,0.7,6839,7674,65
455,432422,2.7,8315,24066,54
494,184254,0.2,0,1763,45
495,214572,1.0,5358,3352,40
496,485055,18.6,66100,129959,45
497,67089,17.8,72931,69566,40
498,221466,4.8,2641,66598,59
499,441164,11.4,36401,43190,55
500,221632,0.1,0,1006,50
502,122798,2.9,2609,35561,45
503,491279,3.8,21132,14063,50
505,232859,0.3,0,3889,45
506,487053,0.4,1023,1928,45
507,548308,0.0,0,97,45
508,115556,0.9,1521,5428,40
509,640419,0.1,367,368,40
510,499716,0.1,463,482,40
511,616221,0.2,0,3376,40
512,460842,0.1,1854,1672,65
513,493362,0.0,54,137,60
514,511499,0.3,856,4535,58
515,172780,0.5,107,9298,63
516,202993,0.2,808,807,55
517,550839,0.0,22,9,55
518,482442,0.1,0,3258,49
519,232787,0.2,529,1445,54
520,570526,0.2,221,1246,54
521,445044,0.0,55,110,65
522,547701,0.2,614,2167,50
523,499721,0.1,0,3625,50
524,499726,0.7,733,4313,45
525,551226,1.0,1126,19003,58
526,154566,1.0,4014,11908,59
527,212319,1.1,0,44870,59
528,490145,1.4,0,22117,45
578,465920,0.1,1470,1098,54
601,611917,0.1,1741,1330,45
501,135720,0.2,1084,1044,50
529,498016,3.1,1460,27305,50
530,232571,0.1,0,714,40
531,515046,0.1,148,433,45
532,223827,3.5,4697,56052,49
533,200834,2.3,4544,14135,55
534,487676,4.5,1896,85102,45
535,201895,0.3,259,3917,49
536,434399,0.4,483,2691,45
537,519634,0.0,0,65,45
538,477547,0.0,0,301,40
539,167512,2.8,1318,19690,40
540,105717,0.2,0,1238,40
541,93605,0.3,456,1374,45
542,484420,5.0,6474,75048,59
543,547027,0.0,19,1001,54
544,84450,4.4,15995,33535,55
545,577669,0.3,501,2825,49
546,535818,0.0,0,687,49
547,461199,0.0,46,97,49
548,554197,0.1,88,380,49
549,549912,0.2,128,1562,54
550,699989,0.0,44,49,50
551,536661,0.1,984,1759,50
552,441264,7.8,10301,145852,59
553,437505,1.4,30691,11951,55
612,638411,0.0,101,124,45
613,696104,0.3,4823,2907,45
646,549940,0.0,950,322,55
651,661313,0.4,21842,5494,45
